LSOA11CD,LSOAarea,SUM_service_area,LSOAname,population,per_capita_SA,per_square_meter_SA,location_quotient,Shape_Length,Shape_Area,pop_density
E01009024,209655.0156,280639.5012,Birmingham 103D,1689,166.157196,1.338577628,0.560123324,2533.026368,209655.0173,8056
E01009025,179557.75,159838.8705,Birmingham 103E,1510,105.8535538,0.890180826,0.356837064,2052.130365,179557.7504,8410
E01009026,313667.2813,638334.5154,Birmingham 090C,1602,398.4609985,2.03506875,1.343229771,3060.065339,313667.2734,5107
E01009028,193845.9219,391766.1089,Birmingham 090D,1892,207.0645447,2.021018028,0.698023796,2991.781935,193845.9286,9760
E01009029,243841.3125,598431.7736,Birmingham 090E,1583,378.036499,2.454185247,1.274377823,2797.618707,243841.3172,6492
E01009030,280820.9063,649762.0163,Birmingham 098D,1527,425.5154114,2.31379509,1.434431314,2567.958903,280820.9129,5438
E01009031,440092.9688,880014.3513,Birmingham 105C,1744,504.5953979,1.999610066,1.701013446,5212.629009,440092.9749,3963
E01009032,302850.625,605183.813,Birmingham 108A,1835,329.8004456,1.998291492,1.111771941,3141.716382,302850.617,6059
E01009033,233979.5469,152440.6105,Birmingham 103F,1830,83.30088043,0.651512563,0.280810982,2589.052759,233979.5473,7821
E01009034,291370.2188,556372.6817,Birmingham 108B,1746,318.6556091,1.909504294,1.07420218,3631.180399,291370.2289,5992
E01009035,311172.9688,455251.1398,Birmingham 108C,1819,250.2754974,1.463016391,0.843689859,3502.523587,311172.975,5846
E01009036,298077.0625,329796.8883,Birmingham 108D,1544,213.5990143,1.106414795,0.720051825,3816.844934,298077.0495,5180
E01009037,492218.3125,637297.9103,Birmingham 105D,1649,386.4753723,1.294746399,1.302825689,4131.828745,492218.3127,3350
E01009039,275758.4688,275758.4794,Birmingham 132A,1656,166.5208282,1,0.561349094,3329.469943,275758.4794,6005
E01009040,434999.4688,396426.3087,Birmingham 132B,1794,220.9734192,0.911325932,0.744911194,4221.572377,434999.4798,4124
E01009041,253998.4219,152012.0438,Birmingham 132C,1670,91.025177,0.59847635,0.306849927,2553.524865,253998.4203,6575
E01009042,239239.25,237935.5074,Birmingham 132D,1392,170.9306793,0.994550467,0.57621491,2214.181959,239239.2501,5818
E01009043,277000.0938,577713.0472,Birmingham 097B,1946,296.8720703,2.08560586,1.0007689,3366.329213,277000.1032,7025
E01009044,145564.6406,378781.0993,Birmingham 097C,1767,214.3639526,2.60215044,0.722630441,2004.372204,145564.645,12139
E01009045,413321.5,854472.1053,Birmingham 097D,1832,466.414917,2.06733036,1.572305441,6129.018489,413321.5156,4432
E01009046,396331.0313,792662.0802,Birmingham 097E,1842,430.3268738,2,1.45065105,3500.547108,396331.0401,4648
E01009047,201063.1563,372853.1627,Birmingham 040C,1777,209.821701,1.854408145,0.707318306,3077.859237,201063.155,8838
E01009048,228140.8125,273583.1672,Birmingham 040D,1878,145.6779327,1.19918561,0.491086811,3317.347265,228140.8134,8232
E01009049,265458.0313,594504.29,Birmingham 032A,1632,364.2796021,2.239541531,1.228002667,2620.804254,265458.0411,6148
E01009050,302339.8438,567415.5993,Birmingham 035A,1930,293.9977112,1.876747727,0.99107939,4089.790159,302339.8532,6384
E01009051,276741.7813,731090.8584,Birmingham 033A,1772,412.5794983,2.6417799,1.390823841,4068.535945,276741.7701,6403
E01009053,135553.9375,266722.6314,Birmingham 033B,1551,171.9681702,1.96764946,0.579712331,2116.800414,135553.9322,11442
E01009054,153388.1875,395990.4307,Birmingham 033C,1636,242.0479431,2.581622839,0.815954387,2933.827312,153388.1947,10666
E01009056,627222.5,956409.8253,Birmingham 032B,2082,459.3707275,1.524833441,1.54855907,4103.968536,627222.5001,3319
E01009057,184027.5,331253.7256,Birmingham 035D,2113,156.7693939,1.80002296,0.528476596,3711.695048,184027.5021,11482
E01009058,109484.7969,223494.0045,Birmingham 033D,1872,119.387825,2.041324615,0.402461678,2474.687949,109484.7933,17098
E01009059,157511.6406,378870.5869,Birmingham 035E,1784,212.3713989,2.405349731,0.715913475,2725.582756,157511.6453,11326
E01009060,137193.8906,363399.2109,Birmingham 035F,1697,214.1421356,2.648800135,0.721882701,2712.735389,137193.8867,12369
E01009061,144657.9688,305265.8506,Birmingham 033E,1843,165.6352997,2.110259533,0.558363974,2670.36151,144657.9685,12740
E01009062,138010.4844,347109.5791,Birmingham 040E,1704,203.7028046,2.515095711,0.686691225,3205.208545,138010.4774,12347
E01009064,275743.4375,530829.6928,Birmingham 095B,1409,376.742157,1.925085545,1.270014524,2432.788111,275743.4421,5110
E01009065,554675.0625,730659.7668,Birmingham 075A,1766,413.7371216,1.317275286,1.394726276,5916.348719,554675.0886,3184
E01009066,664281.0625,669192.9042,Birmingham 073A,1744,383.7115173,1.007394195,1.293508649,4044.269502,664281.0881,2625
E01009067,303704.7813,313535.9302,Birmingham 075B,1470,213.2897491,1.032370687,0.719009221,3719.620281,303704.7757,4840
E01009068,218156.3281,279661.0055,Birmingham 075C,1684,166.0694733,1.281929374,0.559827626,3094.593722,218156.3206,7719
E01009069,256321.4844,313420.3506,Birmingham 075D,1627,192.6369629,1.222762704,0.649387777,3177.08421,256321.4902,6347
E01009070,403251.9063,589774.0116,Birmingham 073B,1690,348.9786987,1.462544918,1.176422715,3396.476405,403251.91,4191
E01009071,924338.25,1515940.284,Birmingham 087B,1658,914.3186035,1.640027642,3.082208872,8586.034488,924338.265,1794
E01009072,338558.875,373575.4123,Birmingham 075E,1637,228.2073364,1.103428245,0.769297063,4986.149813,338558.8856,4835
